time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,condition
2025-05-12 00:00:00,5.6,3.8,88.0,0.0,,170.0,2.0,8.0,1021.7,,1.0,Clear
2025-05-12 01:00:00,4.0,3.0,93.0,0.0,,210.0,2.0,11.1,1021.0,,2.0,Clear
2025-05-12 02:00:00,4.0,2.0,87.0,0.0,,80.0,6.0,11.1,1021.0,,2.0,Clear
2025-05-12 03:00:00,3.0,2.0,93.0,0.0,,160.0,2.0,11.1,1021.0,,2.0,Clear
2025-05-12 04:00:00,6.0,5.0,93.0,0.0,,160.0,2.0,7.4,1022.0,,1.0,Clear
2025-05-12 05:00:00,10.0,7.1,82.0,0.0,,189.0,1.8,9.3,1022.0,,1.0,Clear
2025-05-12 06:00:00,10.0,6.9,81.0,0.0,,0.0,0.0,4.0,1022.8,,3.0,Cloudy
2025-05-12 07:00:00,14.0,4.0,51.0,0.0,,171.0,6.0,11.1,1022.0,,2.0,Clear
2025-05-12 08:00:00,14.0,5.1,55.0,0.0,,210.0,2.0,13.0,1022.0,,2.0,Clear
2025-05-12 09:00:00,15.0,4.9,51.0,0.0,,110.0,4.0,13.0,1022.0,,2.0,Clear
2025-05-12 10:00:00,17.0,5.9,48.0,0.0,,201.0,7.0,13.0,1022.0,,2.0,Clear
2025-05-12 11:00:00,17.0,5.0,45.0,0.0,,170.0,6.0,14.8,1022.0,,2.0,Clear
2025-05-12 12:00:00,17.1,5.1,45.0,0.0,,160.0,4.0,22.0,1022.7,,2.0,Clear
2025-05-12 13:00:00,17.0,5.0,45.0,0.0,,170.0,9.0,16.7,1022.0,,2.0,Clear
2025-05-12 14:00:00,17.0,5.9,48.0,0.0,,190.0,7.0,16.7,1022.0,,2.0,Clear
2025-05-12 15:00:00,16.0,5.0,48.0,0.0,,160.0,7.0,18.5,1021.0,,2.0,Clear
2025-05-12 16:00:00,15.0,6.0,55.0,0.0,,170.0,7.0,18.5,1021.0,,1.0,Clear
2025-05-12 17:00:00,15.0,6.0,55.0,0.0,,160.0,7.0,16.7,1021.0,,1.0,Clear
2025-05-12 18:00:00,13.9,5.8,58.0,0.0,,170.0,5.0,13.0,1021.8,,1.0,Clear
2025-05-12 19:00:00,11.0,5.9,71.0,0.0,,200.0,2.0,11.1,1022.0,,1.0,Clear
2025-05-12 20:00:00,10.0,6.0,76.0,0.0,,200.0,2.0,11.1,1022.0,,1.0,Clear
2025-05-12 21:00:00,9.0,6.1,82.0,0.0,,200.0,4.0,11.1,1022.0,,1.0,Clear
2025-05-12 22:00:00,8.0,6.0,87.0,0.0,,280.0,2.0,9.3,1022.0,,1.0,Clear
2025-05-12 23:00:00,9.0,7.0,87.0,0.0,,270.0,6.0,9.3,1022.0,,1.0,Clear
2025-05-13 00:00:00,9.1,6.7,85.0,0.0,,270.0,5.0,8.0,1022.5,,1.0,Clear
2025-05-13 01:00:00,7.0,5.0,87.0,0.0,,270.0,2.0,13.0,1022.0,,1.0,Clear
2025-05-13 02:00:00,7.0,5.0,87.0,0.0,,280.0,2.0,13.0,1022.0,,1.0,Clear
2025-05-13 03:00:00,6.0,4.0,87.0,0.0,,250.0,6.0,14.8,1022.0,,1.0,Clear
2025-05-13 04:00:00,10.0,5.0,71.0,0.0,,260.0,6.0,14.8,1022.0,,1.0,Clear
2025-05-13 05:00:00,13.0,4.9,58.0,0.0,,270.0,13.0,18.5,1022.0,,1.0,Clear
2025-05-13 06:00:00,12.7,4.9,59.0,0.0,,270.0,13.0,21.0,1022.4,,1.0,Clear
2025-05-13 07:00:00,15.0,4.9,51.0,0.0,,290.0,24.0,25.9,1022.0,,1.0,Clear
2025-05-13 08:00:00,18.0,5.9,45.0,0.0,,280.0,24.0,31.5,1021.0,,1.0,Clear
2025-05-13 09:00:00,19.0,6.1,43.0,0.0,,270.0,32.0,37.0,1021.0,,1.0,Clear
2025-05-13 10:00:00,19.0,6.1,43.0,0.0,,270.0,33.0,40.8,1020.0,,1.0,Clear
2025-05-13 11:00:00,19.0,5.1,40.0,0.0,,280.0,32.0,42.6,1020.0,,1.0,Clear
2025-05-13 12:00:00,19.6,4.1,36.0,0.0,,290.0,33.0,50.0,1020.3,,1.0,Clear
2025-05-13 13:00:00,20.0,4.9,37.0,0.0,,280.0,30.0,44.5,1019.0,,1.0,Clear
2025-05-13 14:00:00,19.0,5.1,40.0,0.0,,300.0,30.0,46.3,1018.0,,1.0,Clear
2025-05-13 15:00:00,19.0,6.1,43.0,0.0,,280.0,35.0,46.3,1018.0,,1.0,Clear
2025-05-13 16:00:00,17.0,7.9,55.0,0.0,,280.0,30.0,44.5,1017.0,,1.0,Clear
2025-05-13 17:00:00,16.0,8.0,59.0,0.0,,290.0,28.0,42.6,1017.0,,2.0,Clear
2025-05-13 18:00:00,15.9,7.1,56.0,0.0,,290.0,26.0,46.0,1017.3,,4.0,Cloudy
2025-05-13 19:00:00,13.0,9.1,77.0,0.0,,280.0,15.0,35.2,1016.0,,2.0,Clear
2025-05-13 20:00:00,12.0,9.0,82.0,0.0,,270.0,19.0,31.5,1016.0,,2.0,Clear
2025-05-13 21:00:00,11.0,9.1,88.0,0.0,,270.0,19.0,27.8,1016.0,,2.0,Clear
2025-05-13 22:00:00,11.0,8.0,82.0,0.0,,260.0,13.0,27.8,1015.0,,2.0,Clear
2025-05-13 23:00:00,10.0,7.9,87.0,0.0,,250.0,13.0,25.9,1015.0,,2.0,Clear
2025-05-14 00:00:00,10.1,7.5,84.0,0.0,,270.0,13.0,22.0,1015.1,,3.0,Cloudy
2025-05-14 01:00:00,9.0,8.1,94.0,0.0,,270.0,13.0,24.1,1014.0,,2.0,Clear
2025-05-14 02:00:00,9.0,8.1,94.0,0.0,,270.0,13.0,24.1,1014.0,,1.0,Clear
2025-05-14 03:00:00,9.0,8.1,94.0,0.0,,280.0,17.0,22.2,1014.0,,1.0,Clear
2025-05-14 04:00:00,10.0,7.9,87.0,0.0,,280.0,15.0,24.1,1014.0,,2.0,Clear
2025-05-14 05:00:00,12.0,9.0,82.0,0.0,,310.0,13.0,22.2,1014.0,,1.0,Clear
2025-05-14 06:00:00,11.8,8.8,82.0,0.0,,310.0,13.0,24.0,1014.3,,1.0,Clear
2025-05-14 07:00:00,14.0,10.0,77.0,0.0,,10.0,15.0,27.8,1014.0,,1.0,Clear
2025-05-14 08:00:00,14.0,8.0,67.0,0.0,,30.0,24.0,31.5,1015.0,,1.0,Clear
2025-05-14 09:00:00,14.0,3.2,48.0,0.0,,30.0,24.0,37.0,1015.0,,1.0,Clear
2025-05-14 10:00:00,14.0,1.9,44.0,0.0,,10.0,22.0,40.8,1015.0,,2.0,Clear
2025-05-14 11:00:00,13.0,3.1,51.0,0.0,,10.0,22.0,40.8,1016.0,,1.0,Clear
2025-05-14 12:00:00,13.4,2.3,47.0,0.0,,360.0,24.0,41.0,1016.4,,1.0,Clear
2025-05-14 13:00:00,12.0,1.0,47.0,0.0,,360.0,24.0,38.9,1016.0,,2.0,Clear
2025-05-14 14:00:00,12.0,1.9,50.0,0.0,,360.0,19.0,37.0,1016.0,,2.0,Clear
2025-05-14 15:00:00,12.0,1.9,50.0,0.0,,360.0,19.0,35.2,1016.0,,2.0,Clear
2025-05-14 16:00:00,11.0,1.0,50.0,0.0,,340.0,19.0,35.2,1015.0,,2.0,Clear
2025-05-14 17:00:00,11.0,1.0,50.0,0.0,,340.0,17.0,31.5,1015.0,,5.0,Foggy
2025-05-14 18:00:00,10.3,1.1,53.0,0.0,,340.0,15.0,30.0,1015.7,,4.0,Cloudy
2025-05-14 19:00:00,9.0,2.1,62.0,0.0,,310.0,11.0,25.9,1015.0,,2.0,Clear
2025-05-14 20:00:00,8.0,0.9,61.0,0.0,,310.0,9.0,24.1,1016.0,,2.0,Clear
2025-05-14 21:00:00,8.0,2.0,66.0,0.0,,330.0,9.0,24.1,1016.0,,2.0,Clear
